"Date","Price","Open","High","Low","Vol.","Change %"
"10/24/2019","474.85","475.95","476.50","474.65","0.16K","-0.02%"
"10/23/2019","474.95","477.25","477.49","475.20","4.13K","0.09%"
"10/22/2019","474.50","477.25","478.00","475.15","3.52K","0.00%"
"10/21/2019","474.50","476.32","478.00","475.75","2.28K","0.00%"
"10/18/2019","474.50","477.25","478.00","475.50","1.11K","0.00%"
"10/17/2019","474.50","477.50","478.15","475.70","1.07K","-0.11%"
"10/16/2019","475.00","477.50","478.15","475.75","1.10K","0.00%"
"10/15/2019","475.00","477.25","478.00","475.70","1.03K","0.11%"
"10/14/2019","474.50","476.73","477.95","475.97","0.32K","-0.26%"
"10/11/2019","475.73","476.68","477.00","475.50","0.04K","0.01%"
"10/10/2019","475.68","476.65","477.60","475.50","0.22K","0.01%"
"10/09/2019","475.65","476.58","477.35","475.75","0.08K","0.14%"
"10/08/2019","475.00","476.52","477.40","475.75","0.34K","-0.11%"
"10/07/2019","475.52","476.33","476.90","475.90","0.49K","0.04%"
"10/04/2019","475.33","476.22","476.85","475.60","0.28K","0.02%"
"10/03/2019","475.22","476.15","477.10","476.05","0.19K","0.01%"
"10/02/2019","475.15","476.00","476.80","475.50","0.06K","0.03%"
"10/01/2019","475.00","476.00","476.60","475.45","0.22K","0.00%"
"09/30/2019","475.00","476.00","476.50","476.00","0.03K","0.00%"
"09/27/2019","475.00","476.01","476.51","475.50","0.46K","0.00%"
"09/26/2019","475.01","476.05","476.27","475.35","0.06K","-0.01%"
"09/25/2019","475.05","476.10","476.55","475.40","0.08K","-0.01%"
"09/24/2019","475.10","476.12","476.56","475.40","0.16K","0.00%"
"09/23/2019","475.12","476.10","476.20","475.30","0.25K","0.00%"
"09/20/2019","475.10","476.26","476.75","476.00","0.05K","-0.03%"
"09/19/2019","475.26","476.20","476.90","475.55","0.25K","0.01%"
"09/18/2019","475.20","476.05","476.90","475.50","0.06K","0.03%"
"09/17/2019","475.05","476.15","476.90","475.75","0.38K","0.01%"
"09/16/2019","475.00","476.18","477.45","476.05","0.04K","-0.04%"
"09/13/2019","475.18","476.22","477.20","476.05","0.05K","-0.01%"
"09/12/2019","475.22","476.33","477.17","475.60","0.03K","-0.02%"
"09/11/2019","475.33","476.60","476.80","475.77","0.07K","-0.06%"
"09/10/2019","475.60","476.60","477.30","476.00","0.67K","0.00%"
"09/09/2019","475.60","476.33","477.65","476.15","0.65K","0.06%"
"09/06/2019","475.33","476.33","477.35","476.10","0.26K","0.00%"
"09/05/2019","475.33","476.50","477.90","476.17","0.33K","-0.04%"
"09/04/2019","475.50","476.30","477.45","476.00","0.26K","0.04%"
"09/03/2019","475.30","476.11","476.80","475.55","0.48K","0.04%"
"09/02/2019","475.11","476.11","476.75","475.80","0.09K","0.00%"
"08/30/2019","475.11","475.96","476.70","475.73","0.13K","0.23%"
"08/29/2019","474.00","475.85","476.80","475.41","0.04K","0.00%"
"08/28/2019","474.00","475.92","476.50","475.42","0.04K","-0.19%"
"08/27/2019","474.92","476.00","476.60","475.46","0.05K","-0.01%"
"08/26/2019","474.98","475.98","476.90","475.95","0.04K","0.00%"
"08/23/2019","474.98","475.90","476.10","475.88","0.05K","0.02%"
"08/22/2019","474.90","475.94","476.10","475.80","0.04K","-0.01%"
"08/21/2019","474.94","475.90","476.20","475.88","0.04K","0.01%"
"08/20/2019","474.87","475.90","476.00","475.87","0.04K","-0.01%"
"08/19/2019","474.90","475.87","476.20","475.85","0.05K","0.01%"
"08/16/2019","474.87","475.85","476.60","475.80","0.04K","0.00%"
"08/15/2019","474.85","475.72","476.10","475.72","0.05K","0.03%"
"08/14/2019","474.72","475.92","476.30","475.36","0.25K","-0.04%"
"08/13/2019","474.92","475.80","476.00","475.75","0.04K","0.03%"
"08/12/2019","474.80","476.13","476.60","475.80","0.06K","-0.07%"
"08/09/2019","475.13","476.20","476.60","476.05","0.03K","-0.01%"
"08/08/2019","475.20","476.45","476.73","476.10","0.03K","0.04%"
"08/07/2019","475.00","476.18","476.73","476.00","0.04K","-0.04%"
"08/06/2019","475.18","476.12","476.60","475.55","0.04K","0.25%"
"08/05/2019","474.00","475.88","476.58","475.40","0.02K","-0.19%"
"08/02/2019","474.88","475.50","476.45","474.94","0.03K","-0.01%"
"08/01/2019","474.91","475.80","475.95","475.40","0.03K","0.02%"
"07/31/2019","474.80","475.80","476.60","475.38","0.03K","0.00%"
"07/30/2019","474.80","476.10","476.10","475.40","0.05K","-0.06%"
"07/29/2019","475.10","475.95","477.06","475.45","0.25K","0.03%"
"07/26/2019","474.95","475.90","476.55","475.40","0.03K","0.01%"
"07/25/2019","474.90","475.95","476.48","475.35","0.03K","-0.01%"
"07/24/2019","474.95","476.12","477.15","475.15","0.04K","-0.04%"
"07/23/2019","475.12","476.18","477.10","475.80","0.03K","-0.01%"
"07/22/2019","475.18","476.45","477.23","475.59","0.03K","-0.06%"
"07/19/2019","475.45","476.40","477.24","476.17","0.03K","0.01%"
"07/18/2019","475.40","476.44","476.72","476.15","0.04K","-0.01%"
"07/17/2019","475.44","476.72","477.36","475.55","0.04K","-0.06%"
"07/16/2019","475.72","476.65","477.37","475.75","0.03K","0.01%"
"07/15/2019","475.65","476.65","477.45","476.30","0.03K","0.00%"
"07/12/2019","475.65","476.92","478.00","476.33","0.04K","-0.06%"
"07/11/2019","475.92","476.55","478.00","476.50","0.03K","0.08%"
"07/10/2019","475.55","477.00","478.00","476.55","0.03K","-0.09%"
"07/09/2019","476.00","476.90","478.00","475.90","0.03K","0.02%"
"07/08/2019","475.90","477.01","478.01","476.45","0.03K","-0.02%"
"07/05/2019","476.01","477.01","478.01","476.50","0.02K","0.00%"
"07/04/2019","476.01","477.02","477.02","476.50","0.01K","0.00%"
"07/03/2019","476.02","477.10","478.05","476.50","0.02K","-0.02%"
"07/02/2019","476.10","477.10","478.55","476.50","0.04K","0.00%"
"07/01/2019","476.10","477.10","478.05","476.50","0.03K","0.00%"
"06/28/2019","476.10","477.32","479.16","476.05","0.03K","-0.05%"
"06/27/2019","476.32","477.33","478.17","476.10","0.02K","0.00%"
"06/26/2019","476.33","477.05","477.67","476.50","0.04K","0.06%"
"06/25/2019","476.05","477.52","478.40","477.02","0.04K","-0.10%"
"06/24/2019","476.52","477.52","477.77","476.75","0.03K","0.00%"
"06/21/2019","476.52","477.52","477.77","476.75","0.02K","0.00%"
"06/20/2019","476.52","477.78","477.89","477.26","0.03K","-0.05%"
"06/19/2019","476.78","477.75","477.89","476.80","0.03K","0.01%"
"06/18/2019","476.75","477.80","477.90","476.75","0.04K","-0.01%"
"06/17/2019","476.80","478.40","478.45","477.30","0.02K","-0.13%"
"06/14/2019","477.40","478.52","478.76","478.05","0.04K","-0.03%"
"06/13/2019","477.52","479.00","479.50","478.00","0.05K","-0.10%"
"06/12/2019","478.00","479.36","479.68","479.00","0.03K","-0.08%"
"06/11/2019","478.36","479.60","480.60","478.93","0.02K","-0.05%"
"06/10/2019","478.60","479.60","480.60","478.65","0.03K","0.00%"
"06/07/2019","478.60","479.55","479.80","479.00","0.04K","0.01%"
