"Date","Price","Open","High","Low","Vol.","Change %"
"07/19/2012","506.245","503.480","507.935","503.140","","0.18%"
"07/18/2012","505.325","503.770","507.205","502.040","","-0.12%"
"07/17/2012","505.920","502.950","506.820","500.280","","0.18%"
"07/16/2012","505.035","504.990","506.995","499.090","","-0.29%"
"07/13/2012","506.500","500.650","506.830","499.870","","0.86%"
"07/12/2012","502.175","504.160","507.025","499.370","","-0.78%"
"07/11/2012","506.125","510.830","513.405","503.090","","-1.10%"
"07/10/2012","511.745","514.110","515.405","510.120","","-0.57%"
"07/09/2012","514.665","512.270","516.105","511.650","","0.08%"
"07/06/2012","514.275","517.280","519.035","511.770","","-0.83%"
"07/05/2012","518.605","523.590","525.375","516.110","","-1.17%"
"07/04/2012","524.735","526.850","528.245","522.750","","-0.67%"
"07/03/2012","528.275","525.890","529.155","524.880","","0.18%"
"07/02/2012","527.335","528.380","529.785","525.300","","-0.41%"
"06/29/2012","529.515","518.710","530.725","518.410","","1.80%"
"06/28/2012","520.140","519.960","523.560","517.290","","-0.08%"
"06/27/2012","520.540","520.830","523.270","517.940","","-0.08%"
"06/26/2012","520.980","521.250","523.560","517.500","","-0.32%"
"06/25/2012","522.645","524.000","525.655","520.170","","-0.71%"
"06/22/2012","526.365","524.420","526.995","522.630","","0.19%"
"06/21/2012","525.360","526.540","531.340","523.710","","-0.48%"
"06/20/2012","527.895","525.830","530.505","524.710","","0.14%"
"06/19/2012","527.145","520.560","528.655","519.330","","0.98%"
"06/18/2012","522.030","527.920","530.300","519.820","","-0.70%"
"06/15/2012","525.720","520.190","526.890","519.610","","0.54%"
"06/14/2012","522.875","516.970","524.755","516.430","","0.90%"
"06/13/2012","518.205","514.580","523.365","513.220","","0.40%"
"06/12/2012","516.160","512.980","518.160","512.280","","0.32%"
"06/11/2012","514.490","520.840","522.560","512.830","","-0.30%"
"06/08/2012","516.035","516.930","519.045","511.370","","-0.40%"
"06/07/2012","518.100","518.170","520.780","516.140","","-0.48%"
"06/06/2012","520.580","507.380","520.740","506.850","","1.47%"
"06/05/2012","513.025","509.130","514.455","506.410","","0.35%"
"06/04/2012","511.250","502.210","511.700","500.310","","0.71%"
"06/01/2012","507.635","500.540","508.245","498.200","","1.12%"
"05/31/2012","502.020","500.160","504.610","499.570","","0.05%"
"05/30/2012","501.770","505.640","507.540","499.960","","-1.27%"
"05/29/2012","508.210","507.870","511.340","505.290","","-0.56%"
"05/28/2012","511.065","508.920","514.465","507.180","","0.26%"
"05/25/2012","509.755","504.690","515.445","503.810","","0.68%"
"05/24/2012","506.290","506.040","509.870","503.690","","-0.15%"
"05/23/2012","507.075","506.770","511.255","504.270","","-0.24%"
"05/22/2012","508.310","513.120","515.660","505.610","","-1.19%"
"05/21/2012","514.440","507.410","514.920","506.060","","1.12%"
"05/18/2012","508.765","502.290","509.235","501.060","","0.92%"
"05/17/2012","504.110","503.510","506.970","501.530","","-0.14%"
"05/16/2012","504.825","502.560","506.815","501.210","","0.14%"
"05/15/2012","504.110","506.510","510.600","502.120","","-0.73%"
"05/14/2012","507.810","502.360","510.130","502.200","","-0.09%"
"05/11/2012","508.260","507.540","509.950","506.440","","-0.18%"
"05/10/2012","509.195","504.270","511.175","504.000","","0.60%"
"05/09/2012","506.170","506.960","509.220","503.490","","-0.57%"
"05/08/2012","509.050","511.180","513.750","507.000","","-0.63%"
"05/07/2012","512.255","510.090","512.875","507.190","","-0.19%"
"05/04/2012","513.220","514.170","517.360","511.950","","-0.46%"
"05/03/2012","515.595","512.930","516.695","512.090","","0.10%"
"05/02/2012","515.060","517.860","520.100","512.770","","-0.81%"
"05/01/2012","519.240","518.020","521.040","516.570","","-0.03%"
"04/30/2012","519.380","518.310","520.530","516.680","","-0.16%"
"04/27/2012","520.215","516.310","520.885","514.690","","0.26%"
"04/26/2012","518.870","517.560","521.330","515.350","","0.02%"
"04/25/2012","518.750","516.550","519.530","515.720","","0.14%"
"04/24/2012","518.000","515.060","518.860","514.550","","0.34%"
"04/23/2012","516.235","516.430","518.585","512.980","","-0.54%"
"04/20/2012","519.020","515.550","519.220","514.540","","0.39%"
"04/19/2012","516.980","513.650","518.040","511.610","","0.37%"
"04/18/2012","515.080","513.920","515.780","511.140","","-0.03%"
"04/17/2012","515.235","514.200","517.075","512.330","","-0.12%"
"04/16/2012","515.845","511.490","516.045","508.680","","0.63%"
"04/13/2012","512.635","515.490","517.785","510.920","","-0.84%"
"04/12/2012","516.970","512.520","517.990","512.210","","0.60%"
"04/11/2012","513.870","510.810","515.750","510.150","","0.32%"
"04/10/2012","512.220","511.790","514.680","509.680","","-0.17%"
"04/09/2012","513.080","511.560","514.170","508.860","","0.07%"
"04/06/2012","512.710","509.420","513.140","508.950","","0.38%"
"04/05/2012","510.745","512.420","515.685","508.290","","-0.61%"
"04/04/2012","513.875","516.630","518.235","511.100","","-0.81%"
"04/03/2012","518.070","520.110","523.390","515.930","","-0.69%"
"04/02/2012","521.655","521.590","523.765","518.130","","-0.15%"
"03/30/2012","522.415","518.620","523.355","518.510","","0.44%"
"03/29/2012","520.130","518.620","521.180","516.460","","0.02%"
"03/28/2012","520.030","517.990","521.740","517.060","","0.13%"
"03/27/2012","519.360","518.100","521.420","517.600","","-0.02%"
"03/26/2012","519.460","512.920","519.890","511.110","","0.89%"
"03/23/2012","514.855","510.690","515.475","510.220","","0.54%"
"03/22/2012","512.080","511.150","514.170","508.250","","-0.13%"
"03/21/2012","512.740","511.070","516.080","509.950","","0.06%"
"03/20/2012","512.450","512.640","515.290","509.290","","-0.28%"
"03/19/2012","513.875","510.690","514.845","508.940","","0.40%"
"03/16/2012","511.830","507.540","512.380","505.530","","0.60%"
"03/15/2012","508.795","506.180","510.425","505.200","","0.23%"
"03/14/2012","507.615","508.660","510.525","505.360","","-0.52%"
"03/13/2012","510.255","511.460","514.495","507.300","","-0.54%"
"03/12/2012","513.005","509.980","513.205","508.490","","0.27%"
"03/09/2012","511.640","516.630","518.060","509.400","","-1.17%"
"03/08/2012","517.685","511.380","518.385","510.870","","0.92%"
"03/07/2012","512.945","510.130","513.745","509.400","","0.31%"
"03/06/2012","511.370","512.900","514.520","509.410","","-0.52%"
"03/05/2012","514.025","511.770","515.105","510.530","","0.12%"
"03/02/2012","513.420","516.510","518.620","511.580","","-0.86%"
"03/01/2012","517.860","517.010","519.560","515.260","","-0.10%"
"02/29/2012","518.380","521.730","524.630","516.540","","-0.92%"
"02/28/2012","523.195","518.760","523.715","518.570","","0.56%"
"02/27/2012","520.285","522.360","524.475","517.520","","-0.61%"
"02/24/2012","523.475","519.500","524.645","518.170","","0.50%"
"02/23/2012","520.895","515.190","520.975","513.290","","0.85%"
"02/22/2012","516.515","514.140","517.415","512.510","","0.17%"
"02/21/2012","515.620","514.530","517.170","511.540","","-0.04%"
"02/20/2012","515.815","511.540","516.945","511.070","","0.82%"
"02/17/2012","511.595","509.560","513.415","508.940","","0.13%"
"02/16/2012","510.950","507.580","511.960","503.350","","0.38%"
"02/15/2012","508.995","508.590","513.505","506.720","","-0.07%"
"02/14/2012","509.345","511.190","513.145","506.770","","-0.63%"
"02/13/2012","512.590","511.770","516.080","510.960","","0.12%"
"02/10/2012","511.985","514.680","516.365","509.680","","-0.82%"
"02/09/2012","516.200","514.450","518.350","512.000","","0.10%"
"02/08/2012","515.675","513.080","516.885","512.860","","0.21%"
"02/07/2012","514.585","507.630","514.895","505.770","","1.05%"
"02/06/2012","509.230","508.710","511.470","503.450","","-0.40%"
"02/03/2012","511.265","509.950","513.705","506.920","","-0.03%"
"02/02/2012","511.440","508.630","513.070","506.080","","0.29%"
"02/01/2012","509.970","504.930","512.250","502.690","","0.76%"
"01/31/2012","506.120","507.630","512.770","503.380","","-0.51%"
"01/30/2012","508.690","512.390","513.720","505.310","","-0.70%"
"01/27/2012","512.275","505.160","512.275","503.810","","1.15%"
"01/26/2012","506.430","505.740","511.880","504.740","","-0.17%"
"01/25/2012","507.290","503.490","507.670","499.330","","0.49%"
"01/24/2012","504.800","504.800","507.530","495.150","","-0.31%"
"01/23/2012","506.350","498.070","507.090","498.030","","0.89%"
"01/20/2012","501.860","501.140","504.480","497.710","","-0.09%"
"01/19/2012","502.295","496.920","502.645","495.250","","0.78%"
"01/18/2012","498.405","493.480","498.555","492.130","","0.69%"
"01/17/2012","494.970","491.290","498.320","490.700","","0.47%"
"01/16/2012","492.665","490.320","494.005","489.810","","-0.09%"
"01/13/2012","493.095","497.490","500.815","489.770","","-1.14%"
"01/12/2012","498.800","492.400","499.730","486.370","","1.05%"
"01/11/2012","493.610","494.320","495.800","487.440","","-0.42%"
"01/10/2012","495.690","491.450","497.160","487.980","","0.34%"
"01/09/2012","494.030","486.070","494.560","485.030","","1.01%"
"01/06/2012","489.105","489.740","492.705","486.260","","-0.47%"
"01/05/2012","491.415","495.680","497.845","489.010","","-1.26%"
"01/04/2012","497.680","499.820","502.620","493.920","","-0.80%"
"01/03/2012","501.675","495.330","502.825","495.220","","0.89%"
"01/02/2012","497.235","498.110","500.665","494.640","","-0.47%"
"12/30/2011","499.560","498.310","501.750","494.150","","-0.01%"
"12/29/2011","499.625","498.110","499.825","493.880","","0.03%"
"12/28/2011","499.465","505.120","506.505","497.040","","-1.38%"
"12/27/2011","506.465","501.540","506.885","499.430","","0.71%"
