FX,possition,date,name,value
EUR,buy,2024-04-04T14:00:00Z,mean_value,420
EUR,buy,2024-04-04T14:00:00Z,max_value,420
EUR,buy,2024-04-04T14:00:00Z,min_value,420
EUR,buy,2024-04-04T15:00:00Z,mean_value,420
EUR,buy,2024-04-04T15:00:00Z,max_value,420
EUR,buy,2024-04-04T15:00:00Z,min_value,420
EUR,buy,2024-04-04T16:00:00Z,mean_value,420
EUR,buy,2024-04-04T16:00:00Z,max_value,420
EUR,buy,2024-04-04T16:00:00Z,min_value,420
EUR,buy,2024-04-04T17:00:00Z,mean_value,420
EUR,buy,2024-04-04T17:00:00Z,max_value,420
EUR,buy,2024-04-04T17:00:00Z,min_value,420
EUR,buy,2024-04-04T18:00:00Z,mean_value,420
EUR,buy,2024-04-04T18:00:00Z,max_value,420
EUR,buy,2024-04-04T18:00:00Z,min_value,420
EUR,buy,2024-04-04T19:00:00Z,mean_value,420
EUR,buy,2024-04-04T19:00:00Z,max_value,420
EUR,buy,2024-04-04T19:00:00Z,min_value,420
EUR,buy,2024-04-04T20:00:00Z,mean_value,420
EUR,buy,2024-04-04T20:00:00Z,max_value,420
EUR,buy,2024-04-04T20:00:00Z,min_value,420
EUR,buy,2024-04-04T21:00:00Z,mean_value,420
EUR,buy,2024-04-04T21:00:00Z,max_value,420
EUR,buy,2024-04-04T21:00:00Z,min_value,420
EUR,buy,2024-04-04T22:00:00Z,mean_value,420
EUR,buy,2024-04-04T22:00:00Z,max_value,420
EUR,buy,2024-04-04T22:00:00Z,min_value,420
EUR,buy,2024-04-04T23:00:00Z,mean_value,420
EUR,buy,2024-04-04T23:00:00Z,max_value,420
EUR,buy,2024-04-04T23:00:00Z,min_value,420
EUR,buy,2024-04-05T00:00:00Z,mean_value,420
EUR,buy,2024-04-05T00:00:00Z,max_value,420
EUR,buy,2024-04-05T00:00:00Z,min_value,420
EUR,buy,2024-04-05T01:00:00Z,mean_value,420
EUR,buy,2024-04-05T01:00:00Z,max_value,420
EUR,buy,2024-04-05T01:00:00Z,min_value,420
EUR,buy,2024-04-05T02:00:00Z,mean_value,420
EUR,buy,2024-04-05T02:00:00Z,max_value,420
EUR,buy,2024-04-05T02:00:00Z,min_value,420
EUR,buy,2024-04-05T03:00:00Z,mean_value,420
EUR,buy,2024-04-05T03:00:00Z,max_value,420
EUR,buy,2024-04-05T03:00:00Z,min_value,420
EUR,buy,2024-04-05T05:00:00Z,mean_value,420
EUR,buy,2024-04-05T05:00:00Z,max_value,420
EUR,buy,2024-04-05T05:00:00Z,min_value,420
EUR,buy,2024-04-05T06:00:00Z,mean_value,420
EUR,buy,2024-04-05T06:00:00Z,max_value,420
