year,commodity_code,commodity,reexports,X,pct,pct_cum,reexports_text,pct_text,prop_reexport,prop_reexport_text
2016,846229,"Machine-tools; bending, folding, straightening or flattening machines (including press brakes), for working metal, numerically controlled n.e.c. in item 84.62.2",24477.85,85894.20999999999,1.96222126437854e-4,0.9904659349173751,0.0,0.0%,0.28497671728979174,28.5%
2017,790700,Zinc; articles n.e.c. in chapter 79,24425.010000000002,55797.2,2.695960123885473e-4,0.9834513240503379,0.0,0.0%,0.43774615930548494,43.8%
2023,846262,"Machine-tools; cold metal working presses, mechanical presses",24399.57,29545.64,5.8890975708228006e-6,0.9993656101927413,0.0,0.0%,0.8258264163511096,82.6%
2022,851180,"Ignition or starting equipment; n.e.c. in heading no. 8511, of a kind used for spark or compression-ignition internal combustion engines",24361.41,24361.41,1.655282117764977e-5,0.9982628984895625,0.0,0.0%,1,100.0%
2011,841090,"Turbines; parts of hydraulic turbines and water wheels, including regulators",24324.82,641943.56,1.7023663737941497e-4,0.9921097137968109,0.0,0.0%,0.03789245895698369,3.8%
2022,850650,"Cells and batteries; primary, lithium",24287.38,24287.38,1.6502520092787223e-5,0.9982794010096553,0.0,0.0%,1,100.0%
2024,950699,Equipment for outdoor games and recreation n.e.c. in heading no. 9506,24282.86,24282.86,1.5320230057109602e-5,0.9990479068614835,0.0,0.0%,1,100.0%
2018,732591,"Iron; grinding balls and similar articles for mills, other than of non-malleable cast iron",24232.06,309250,2.290161810197616e-4,0.9849119083946285,0.0,0.0%,0.07835751010509297,7.8%
2024,871160,"Motorcycles (including mopeds) and cycles; fitted with auxiliary motor, with electric motor for propulsion, with or without side-cars; side-cars",24211.21,24211.21,1.5275025559633113e-5,0.999063181887043,0.0,0.0%,1,100.0%
2021,850590,"Magnets; electro-magnets, holding devices and parts n.e.c. in heading no. 8505",24192.18,24192.18,1.4503015061116087e-4,0.9893714745325308,0.0,0.0%,1,100.0%
2012,844130,"Machines; for making cartons, boxes, cases, tubes, drums or similar containers (other than by moulding), of paper pulp, paper or paperboard",24155,24155,2.2474383749273696e-4,0.991625190113922,0.0,0.0%,1,100.0%
2023,732620,Iron or steel; wire articles,24131.3,24131.3,5.824347732800055e-6,0.9993714345404741,0.0,0.0%,1,100.0%
2023,760810,"Aluminium; tubes and pipes, not alloyed",24099.91,24099.91,5.816771420072079e-6,0.9993772513118941,0.0,0.0%,1,100.0%
2017,843141,"Machinery parts; buckets, shovels, grabs and grips, for the machinery of heading no. 8426 and 8430",24081.95,24081.95,2.6580941790977264e-4,0.9837171334682476,0.0,0.0%,1,100.0%
2023,940153,Seats; of rattan,24034.82,43537.08,5.801061251373006e-6,0.9993830523731455,0.0,0.0%,0.5520540192406105,55.2%
2020,710420,NA,24004.65,24004.65,1.7624872151090888e-4,0.9904662246955855,0.0,0.0%,1,100.0%
2019,870333,"Vehicles; with only compression-ignition internal combustion piston engine (diesel or semi-diesel), cylinder capacity over 2500cc",24002.02,24002.02,2.62163257635452e-4,0.9821450285028381,0.0,0.0%,1,100.0%
2023,850240,NA,23949.93,25604.43,5.780572140590023e-6,0.9993888329452861,0.0,0.0%,0.9353822756452692,93.5%
2022,820760,"Tools, interchangeable; (for machine or hand tools, whether or not power-operated), for boring or broaching",23866.420000000002,24624.350000000002,1.6216490852158563e-5,0.9982956175005074,0.0,0.0%,0.969220304292296,96.9%
2024,731029,"Tanks, casks, drums, boxes and similar containers for any material (excluding compressed or liquefied gas) less than 50l capacity, n.e.c. in item no. 7310.2, of iron or steel",23863.329999999998,23863.329999999998,1.505554557942208e-5,0.9990782374326225,0.0,0.0%,1,100.0%
2018,710399,"Stones; precious (other than diamonds) and semi-precious stones, (other than rubies, sapphires and emeralds), worked other than simply sawn or roughly shaped, not strung, mounted or set",23855.079999999998,23855.079999999998,2.2545335887749095e-4,0.985137361753506,0.0,0.0%,1,100.0%
2023,732619,"Iron or steel; articles n.e.c. in item no. 7326.11, forged or stamped, but not further worked",23846.91,23846.91,5.755707160111016e-6,0.9993945886524462,0.0,0.0%,1,100.0%
2024,731512,"Chain; articulated link, (other than roller), of iron or steel",23826.21,23826.21,1.503212630592135e-5,0.9990932695589284,0.0,0.0%,1,100.0%
2017,854020,"Tubes; television camera tubes, image converters and intensifiers, other photo-cathode tubes",23808.88,46528.89,2.627953522818388e-4,0.9839799288205294,0.0,0.0%,0.511701009845711,51.2%
2023,843020,Snow-ploughs and snow-blowers,23784.559999999998,23784.559999999998,5.740658319760927e-6,0.9994003293107661,0.0,0.0%,1,100.0%
2024,846233,"Machine-tools; shearing machines (excluding presses) for flat products, numerically controlled, other than combined punching and shearing machines, for working metal",23755.96,23755.96,1.498780507845836e-5,0.9991082573640069,0.0,0.0%,1,100.0%
2011,731441,"Iron or steel wire; grill, netting and fencing, plated or coated with zinc",23731.760000000002,28018.8,1.660861219731659e-4,0.9922757999187841,0.0,0.0%,0.8469941610632862,84.7%
2022,851610,"Heaters; electric, instantaneous or storage water and immersion heaters",23720,23720,1.6117003011478096e-5,0.9983117345035188,0.0,0.0%,1,100.0%
2019,842010,"Machines; calendering or other rolling machines, for other than metal or glass",23711.53,23711.53,2.589903661575463e-4,0.9824040188689956,0.0,0.0%,1,100.0%
2023,950430,"Games; operated by coins, banknotes, bank cards, tokens or by other means of payment, other than billiard articles and accesssories, and automatic bowling alley equipment",23687.91,23687.91,5.717330807012956e-6,0.9994060466415731,0.0,0.0%,1,100.0%
2022,848240,"Bearings; needle roller bearings, including cage and needle roller assemblies",23652.25,29036.67,1.6070968991493795e-5,0.9983278054725104,0.0,0.0%,0.8145648244099617,81.5%
2021,950510,Christmas festivity articles,23636.940000000002,132905.76,1.417015319903776e-4,0.9895131760645212,0.0,0.0%,0.17784737094915978,17.8%
2013,850152,"Electric motors; AC motors, multi-phase, of an output exceeding 750W but not exceeding 75kW",23600,23600,1.5516240282097515e-4,0.9945973893822109,0.0,0.0%,1,100.0%
2011,902610,Instruments and apparatus; for measuring or checking the flow or level of liquids,23551.870000000003,23551.870000000003,1.6482716635918057e-4,0.9924406270851432,0.0,0.0%,1,100.0%
2017,842240,Machinery; for packing or wrapping,23520,23520,2.5960678056543814e-4,0.9842395356010949,0.0,0.0%,1,100.0%
2022,843142,Machinery parts; bulldozer or angledozer blades,23515.52,28666.289999999997,1.597806520474171e-5,0.9983437835377151,0.0,0.0%,0.8203196158275103,82.0%
2015,853650,"Electrical apparatus; switches n.e.c. in heading no. 8536, for a voltage not exceeding 1000 volts",23447,23447,2.689211802672196e-4,0.9858093884217538,0.0,0.0%,1,100.0%
2011,902580,"Hydrometers and similar floating instruments, barometers, hygrometers, psychrometers, thermometers, pyrometers; recording or not, any combination of these instruments (excluding thermometers and barometers not combined with other instruments)",23443.65,23443.65,1.6406979142702483e-4,0.9926046968765703,0.0,0.0%,1,100.0%
2016,850433,"Transformers; n.e.c. in item no. 8504.2, having a power handling capacity exceeding 16kVA but not exceeding 500kVA",23415.120000000003,147455.38,1.8770294928670308e-4,0.9906536378666618,0.0,0.0%,0.1587946129873322,15.9%
2014,850811,"Vacuum cleaners, with self-contained electric motor, of a power not exceeding 1,500 W and having a dust bag or other receptacle capacity not exceeding 20L",23390,23390,1.4226014010305062e-4,0.9946258653877124,0.0,0.0%,1,100.0%
2020,845590,Metal-rolling mills; parts thereof,23373.78,38738.82,1.7161670100906498e-4,0.9906378413965946,0.0,0.0%,0.6033684040969756,60.3%
2023,730729,"Steel, stainless; tube or pipe fittings, n.e.c. in item no. 7307.2",23302.79,23302.79,5.624377969873807e-6,0.9994116710195429,0.0,0.0%,1,100.0%
2015,845969,"Machine-tools; for milling by removing metal, not knee-type, other than numerically controlled",23281.989999999998,25081.89,2.6702862753314295e-4,0.986076417049287,0.0,0.0%,0.928239060134623,92.8%
2017,830140,"Locks; (other than those for motor vehicles or furniture), (key, combination or electrically operated), of base metal",23249.13,23249.13,2.5661699788466605e-4,0.9844961525989796,0.0,0.0%,1,100.0%
2019,848310,Transmission shafts (including cam shafts and crank shafts) and cranks,23218.2,23218.2,0.00025360194468763264,0.9826576208136832,0.0,0.0%,1,100.0%
