"interview__key","date_q","hh_02","settlement","members","memnal","weight","fdpurch","fdcons","fdout","Z1","nfdpurch","nonfdgif","durble","expend","monincome","totincome","nonmoninc","y1_3amd.1.00","y1_3amd.2.00","y1_3amd.4.00","y1_3amd.6.00","y1_3amd.8.00","y1_3amd.9.00","y1_3amd.10.00","y1_3amd.12.00","y1_3amd.13.00","y1_3amd.14.00","y1_3amd.15.00","y1_3amd.17.00","y1_3amd.18.00","y1_3amd.19.00","y1_3amd.23.00","y1_3amd.26.00","y1_3amd.28.00","hhch_0_3_sum","hhch_4_5_sum","hhch_6_11_sum","hhch_12_17_sum","hheld_63_65_sum","hheld_66_70_sum","hheld_71_80_sum","hheld_over81_sum","hheld_over63_sum","headsex","headeduc","headmerstatus","headage","aec_r","poverty","pweight","ae_r","hous_01","hous_13","hous_16","hous_29_0__1","hous_29_0__2","hous_29_0__3","hous_29_0__4","hous_29_0__5","hous_29_0__6","hous_29_0__7","hous_39","hous_44","soc_01","soc_05","hous_47"
"00-81-28-96",2022.08,1,1,5,2,164.7,69806.25,0,0,0,21791.37,21300,0,112897.62,120000,141300,21300,120000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,60,88739.27,1,329.41,1.65,2,1,1,0,0,1,0,0,0,0,1,3,2,NA,2
"00-82-45-01",2022.08,8,2,7,6,126.66,19140.77,40547.78,0,0,52251.49,19338.89,0,131278.94,87266.67,147153.34,59886.67,NA,40000,28600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,2,3,3,54,42312.85,2,759.94,3.86,1,1,1,0,0,0,0,0,0,0,5,3,2,NA,1
"00-83-91-05",2022.06,1,1,2,2,164.7,55293.15,0,0,0,24441.96,31069.44,0,110804.56,192000,223069.44,31069.44,150000,NA,42000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,2,6,3,64,72210.03,1,329.41,1.65,2,1,1,0,0,1,0,0,0,0,1,3,2,NA,2
"00-85-05-69",2022.07,1,1,2,2,254.35,24311.61,16257.7,0,0,16902.98,8900,0,66372.28,109600,134757.7,25157.7,NA,NA,71600,18000,NA,NA,NA,NA,NA,NA,NA,NA,20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,3,86,48774.18,2,508.7,1.65,2,1,1,0,0,1,0,0,0,0,1,4,1,6,1
"00-86-61-43",2022.01,9,2,6,6,117.31,153495.54,65748.95,0,0,65830.36,49641.67,0,334716.51,308416.67,423807.29,115390.62,198000,NA,40000,34000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,1,NA,NA,1,1,3,3,70,83263.22,1,703.89,3.86,1,1,1,0,0,0,0,0,1,0,2,4,1,8,2
"00-86-66-72",2022.07,7,2,4,4,259.53,45407.74,21291.67,0,0,57248.51,17300,0,141247.92,376666.67,415258.33,38591.67,270000,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,1,57,70157.45,1,1038.11,3.18,1,2,NA,0,0,0,0,0,1,0,2,3,2,NA,1
"00-89-27-97",2022.02,1,1,4,4,254.35,113475.89,0,0,0,61792.26,100000,0,275268.15,620000,720000,100000,620000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,1,59,91518.99,1,1017.41,3.18,2,1,1,0,0,1,0,0,0,0,1,2,2,NA,1
"00-89-96-44",2022.02,3,1,1,1,91.06,19669.44,0,0,0,0,18500,0,38169.44,150000,168500,18500,150000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,42,109479.48,1,91.06,0.68,2,1,1,0,1,0,0,0,0,0,1,4,2,NA,1
"00-90-16-85",2022.12,1,1,5,5,24.03,384597.02,0,0,0,63925.6,62269.44,0,510792.06,674800,737069.44,62269.44,635000,NA,39800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,3,1,65,68800.63,1,120.14,3.65,1,1,1,0,1,1,0,0,0,0,1,1,2,NA,1
"00-90-99-84",2022.12,1,1,2,2,326.88,88099.7,41285.19,0,0,47391.31,309183.33,0,485959.54,618400,968868.52,350468.52,94000,NA,134400,NA,NA,NA,NA,NA,NA,NA,NA,NA,390000,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,1,3,1,72,274296.69,1,653.76,1.65,2,1,1,0,0,1,0,0,0,0,1,2,2,NA,1
"00-91-73-11",2022.04,4,2,4,4,192.16,21726.19,0,0,0,51120,63200,41666.67,177712.86,578600,641800,63200,150000,400000,28600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,3,1,63,43668.6,2,768.63,3.18,1,1,1,0,0,1,0,0,0,0,2,3,2,NA,1
