"Date","Price","Open","High","Low","Vol.","Change %"
"04/24/2012","13.3825","13.2600","13.3875","13.2470","","0.64%"
"04/23/2012","13.2970","13.2810","13.3350","13.2250","","-0.26%"
"04/20/2012","13.3315","13.2940","13.3535","13.2600","","0.06%"
"04/19/2012","13.3235","13.2560","13.3455","13.2380","","0.23%"
"04/18/2012","13.2935","13.2700","13.3195","13.2250","","-0.24%"
"04/17/2012","13.3250","13.2200","13.3290","13.1870","","0.52%"
"04/16/2012","13.2555","13.2310","13.2805","13.1380","","0.14%"
"04/13/2012","13.2375","13.2880","13.3545","13.1960","","-0.72%"
"04/12/2012","13.3335","13.1850","13.3435","13.1810","","0.85%"
"04/11/2012","13.2215","13.0950","13.2515","13.0800","","0.76%"
"04/10/2012","13.1220","13.1920","13.2700","13.0830","","-0.83%"
"04/09/2012","13.2315","13.2000","13.2395","13.1450","","-0.04%"
"04/06/2012","13.2365","13.2330","13.3035","13.1720","","-0.24%"
"04/05/2012","13.2685","13.2350","13.3255","13.1600","","0.10%"
"04/04/2012","13.2555","13.3580","13.3935","13.2030","","-1.25%"
"04/03/2012","13.4230","13.3270","13.4370","13.2970","","0.42%"
"04/02/2012","13.3670","13.2770","13.3790","13.2160","","0.10%"
"03/30/2012","13.3530","13.2260","13.3530","13.2240","","0.76%"
"03/29/2012","13.2525","13.2550","13.3605","13.1960","","-0.28%"
"03/28/2012","13.2900","13.3810","13.4490","13.2370","","-1.07%"
"03/27/2012","13.4335","13.4020","13.4985","13.3780","","-0.04%"
"03/26/2012","13.4390","13.1920","13.4450","13.1880","","1.44%"
"03/23/2012","13.2485","13.1500","13.2535","13.1360","","0.54%"
"03/22/2012","13.1775","13.2200","13.2785","13.1050","","-0.60%"
"03/21/2012","13.2570","13.2070","13.3130","13.1930","","0.04%"
"03/20/2012","13.2520","13.2910","13.3590","13.1770","","-0.59%"
"03/19/2012","13.3305","13.2700","13.3305","13.2270","","0.31%"
