"date","year","month","org_type_clean","org_type_short","count","count_yoy","data_estimated"
"2023-10-01",2023,10,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",0,17,FALSE
"2023-11-01",2023,11,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",0,15,FALSE
"2023-12-01",2023,12,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",4,17,FALSE
"2024-01-01",2024,1,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",2,17,FALSE
"2024-02-01",2024,2,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",4,19,TRUE
"2024-03-01",2024,3,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",5,22,FALSE
"2024-04-01",2024,4,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",4,23,TRUE
"2024-05-01",2024,5,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",3,24,TRUE
"2024-06-01",2024,6,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",2,25,FALSE
"2024-07-01",2024,7,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",0,25,FALSE
"2024-08-01",2024,8,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",0,24,FALSE
"2015-10-01",2015,10,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,NA,FALSE
"2015-11-01",2015,11,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",1,NA,FALSE
"2015-12-01",2015,12,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,NA,FALSE
"2016-01-01",2016,1,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,NA,FALSE
"2016-02-01",2016,2,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,NA,FALSE
"2016-03-01",2016,3,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,NA,FALSE
"2016-04-01",2016,4,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,NA,FALSE
"2016-05-01",2016,5,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",1,NA,FALSE
"2016-06-01",2016,6,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",3,NA,TRUE
"2016-07-01",2016,7,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",5,NA,FALSE
"2016-08-01",2016,8,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,NA,FALSE
"2016-09-01",2016,9,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,10,FALSE
"2016-10-01",2016,10,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,10,FALSE
"2016-11-01",2016,11,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,9,FALSE
"2016-12-01",2016,12,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,9,FALSE
"2017-01-01",2017,1,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,9,FALSE
"2017-02-01",2017,2,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",1,10,FALSE
