period,partner_region,X_region
2022-06-01,Greater China,344145544.4
2022-07-01,Greater China,341433013.91999996
2022-08-01,Greater China,354108960.9599999
2022-09-01,Greater China,360600832.1
2022-10-01,Greater China,361162420.57000005
2022-11-01,Greater China,362170722.00000006
2022-12-01,Greater China,369500454.21000004
2023-01-01,Greater China,373829229.2
2023-02-01,Greater China,375312749.77
2023-03-01,Greater China,381648293.17999995
2023-04-01,Greater China,392060667.93999994
2010-12-01,Middle East,104088196.24000001
2011-01-01,Middle East,103225193.48
2011-02-01,Middle East,103583527.38000001
2011-03-01,Middle East,102646419.30000001
2011-04-01,Middle East,107221117.96000002
2011-05-01,Middle East,113092935.27000001
2011-06-01,Middle East,118711029.28000002
2011-07-01,Middle East,117587380.03
2011-08-01,Middle East,118672616.22
2011-09-01,Middle East,101534864.09000002
2011-10-01,Middle East,99087649.56
2011-11-01,Middle East,102601207.45
2011-12-01,Middle East,100545510.41000001
2012-01-01,Middle East,108646990.61
2012-02-01,Middle East,117309844.65
2012-03-01,Middle East,124395818.70000002
2012-04-01,Middle East,121941489.47999999
2012-05-01,Middle East,110600043.68999998
2012-06-01,Middle East,106365706.69
2012-07-01,Middle East,106059975.69
2012-08-01,Middle East,105802253.52999999
2012-09-01,Middle East,109606626.75999999
2012-10-01,Middle East,116418513.24000001
2012-11-01,Middle East,121080689.03
2012-12-01,Middle East,122810529.10000001
2013-01-01,Middle East,126224499.17
2013-02-01,Middle East,132853610.38000001
2013-03-01,Middle East,139286780.81
2013-04-01,Middle East,140228195.66
2013-05-01,Middle East,143573896.53
2013-06-01,Middle East,145590398.72
2013-07-01,Middle East,146333025.97
2013-08-01,Middle East,149614661.62399998
2013-09-01,Middle East,154141974.65399998
2013-10-01,Middle East,152680136.75399998
2013-11-01,Middle East,150842374.524
2013-12-01,Middle East,150782506.33400002
2014-01-01,Middle East,153235964.474
2014-02-01,Middle East,152678958.074
2014-03-01,Middle East,153049190.484
2014-04-01,Middle East,159393891.814
2014-05-01,Middle East,169557960.48400003
2014-06-01,Middle East,167559712.33900002
2014-07-01,Middle East,167402526.609
2014-08-01,Middle East,165621525.566
2014-09-01,Middle East,173560474.39000002
2014-10-01,Middle East,187510303.34000003
2014-11-01,Middle East,198666063.98999998
2014-12-01,Middle East,205066642.673
2015-01-01,Middle East,202374871.63500002
2015-02-01,Middle East,200069068.53500003
2015-03-01,Middle East,201256839.625
2015-04-01,Middle East,207854478.70499998
2015-05-01,Middle East,214329775.17499998
2015-06-01,Middle East,226420170.15999997
2015-07-01,Middle East,232799576.71
2015-08-01,Middle East,242751493.139
2015-09-01,Middle East,245899620.405
2015-10-01,Middle East,246480429.515
2015-11-01,Middle East,247275201.40500003
2015-12-01,Middle East,256909207.29200003
2016-01-01,Middle East,261440121.22000003
2016-02-01,Middle East,276915260.03000003
2016-03-01,Middle East,281838213.20000005
2016-04-01,Middle East,288043064.40000004
2016-05-01,Middle East,281134698.64
2016-06-01,Middle East,277555232.68
2016-07-01,Middle East,277396826
2016-08-01,Middle East,290152212.79
2016-09-01,Middle East,296899234.32
2016-10-01,Middle East,307493292.32000005
2016-11-01,Middle East,312670215.96000004
2016-12-01,Middle East,311906434.73
2017-01-01,Middle East,312302641.89
2017-02-01,Middle East,303746107.95
2017-03-01,Middle East,309496580.76
2017-04-01,Middle East,310078029.77
2017-05-01,Middle East,318857019.1
2017-06-01,Middle East,332291315.49
2017-07-01,Middle East,342986452.69
2017-08-01,Middle East,339332968.05
2017-09-01,Middle East,335574770.17
2017-10-01,Middle East,323848470.84000003
2017-11-01,Middle East,334101325.52
2017-12-01,Middle East,349160144.37
2018-01-01,Middle East,362557622.27
2018-02-01,Middle East,377907475.32
2018-03-01,Middle East,382505628.11999995
2018-04-01,Middle East,382187482.47
2018-05-01,Middle East,384938554.45
2018-06-01,Middle East,383302894.03
2018-07-01,Middle East,377658834.29
2018-08-01,Middle East,373155092.81000006
2018-09-01,Middle East,377006319.96999997
2018-10-01,Middle East,396369918.8499999
2018-11-01,Middle East,396010164.22999996
2018-12-01,Middle East,387733752.60999995
2019-01-01,Middle East,378185194.39
2019-02-01,Middle East,368017162.34
2019-03-01,Middle East,365105552.9
2019-04-01,Middle East,373239607.08
2019-05-01,Middle East,376062443.73
2019-06-01,Middle East,371983080.56000006
2019-07-01,Middle East,377958665.57000005
2019-08-01,Middle East,388995208.82
2019-09-01,Middle East,398924266.37
2019-10-01,Middle East,397550911.61
2019-11-01,Middle East,392533403.12999994
