"date","code","name","cpi_month"
"2020-12-01","07.2.2.1","Դիզելային վառելիք (Կ)",1.029
"2020-01-01","07.2.2.2","Բենզին (Կ)",1.001
"2020-02-01","07.2.2.2","Բենզին (Կ)",0.991
"2020-03-01","07.2.2.2","Բենզին (Կ)",0.963
"2020-04-01","07.2.2.2","Բենզին (Կ)",0.829
"2020-05-01","07.2.2.2","Բենզին (Կ)",0.902
"2020-06-01","07.2.2.2","Բենզին (Կ)",0.998
"2020-07-01","07.2.2.2","Բենզին (Կ)",1.039
"2020-08-01","07.2.2.2","Բենզին (Կ)",1.087
"2020-09-01","07.2.2.2","Բենզին (Կ)",1.039
"2020-10-01","07.2.2.2","Բենզին (Կ)",1.005
"2020-11-01","07.2.2.2","Բենզին (Կ)",1.004
"2020-12-01","07.2.2.2","Բենզին (Կ)",1.041
"2020-01-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",0.999
"2020-02-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",0.999
"2020-03-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",1
"2020-04-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",1
"2020-05-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",0.999
"2020-06-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",0.998
"2020-07-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",1.001
"2020-08-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",1.025
"2020-09-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",1.002
"2020-10-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",1
"2020-11-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",1
"2020-12-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",1.035
"2020-01-01","07.2.2.4","Քսանյութեր և համանման միջոցներ անձնական փոխադրամիջոցների համար (Կ)",1
"2020-02-01","07.2.2.4","Քսանյութեր և համանման միջոցներ անձնական փոխադրամիջոցների համար (Կ)",1
"2020-03-01","07.2.2.4","Քսանյութեր և համանման միջոցներ անձնական փոխադրամիջոցների համար (Կ)",1.002
"2020-04-01","07.2.2.4","Քսանյութեր և համանման միջոցներ անձնական փոխադրամիջոցների համար (Կ)",0.998
"2020-05-01","07.2.2.4","Քսանյութեր և համանման միջոցներ անձնական փոխադրամիջոցների համար (Կ)",1.021
"2020-06-01","07.2.2.4","Քսանյութեր և համանման միջոցներ անձնական փոխադրամիջոցների համար (Կ)",1.011
"2020-07-01","07.2.2.4","Քսանյութեր և համանման միջոցներ անձնական փոխադրամիջոցների համար (Կ)",1.001
"2020-08-01","07.2.2.4","Քսանյութեր և համանման միջոցներ անձնական փոխադրամիջոցների համար (Կ)",1.004
"2020-09-01","07.2.2.4","Քսանյութեր և համանման միջոցներ անձնական փոխադրամիջոցների համար (Կ)",1.003
"2020-10-01","07.2.2.4","Քսանյութեր և համանման միջոցներ անձնական փոխադրամիջոցների համար (Կ)",1.002
"2020-11-01","07.2.2.4","Քսանյութեր և համանման միջոցներ անձնական փոխադրամիջոցների համար (Կ)",1.002
"2020-12-01","07.2.2.4","Քսանյութեր և համանման միջոցներ անձնական փոխադրամիջոցների համար (Կ)",1.009
"2021-01-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",1.007
"2021-02-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",1.005
"2021-03-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",1.015
"2021-04-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",1.006
"2021-05-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",1.005
"2021-06-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",1.009
"2021-07-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",1.008
"2021-08-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",1.005
"2021-09-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",1.002
"2021-10-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",1.004
"2021-11-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",1.007
"2021-12-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",1.004
"2021-01-01","07.2.2.1","Դիզելային վառելիք (Կ)",1.038
"2021-02-01","07.2.2.1","Դիզելային վառելիք (Կ)",1.023
"2021-03-01","07.2.2.1","Դիզելային վառելիք (Կ)",1.112
"2021-04-01","07.2.2.1","Դիզելային վառելիք (Կ)",1.061
"2021-05-01","07.2.2.1","Դիզելային վառելիք (Կ)",1.054
"2021-06-01","07.2.2.1","Դիզելային վառելիք (Կ)",1.045
"2021-07-01","07.2.2.1","Դիզելային վառելիք (Կ)",1.011
"2021-08-01","07.2.2.1","Դիզելային վառելիք (Կ)",1.016
"2021-09-01","07.2.2.1","Դիզելային վառելիք (Կ)",1.006
"2021-10-01","07.2.2.1","Դիզելային վառելիք (Կ)",1.012
"2021-11-01","07.2.2.1","Դիզելային վառելիք (Կ)",1.031
"2021-12-01","07.2.2.1","Դիզելային վառելիք (Կ)",1.011
"2021-01-01","07.2.2.2","Բենզին (Կ)",1.031
"2021-02-01","07.2.2.2","Բենզին (Կ)",1.023
"2021-03-01","07.2.2.2","Բենզին (Կ)",1.082
"2021-04-01","07.2.2.2","Բենզին (Կ)",1.036
"2021-05-01","07.2.2.2","Բենզին (Կ)",1.03
"2021-06-01","07.2.2.2","Բենզին (Կ)",1.062
"2021-07-01","07.2.2.2","Բենզին (Կ)",1.023
"2021-08-01","07.2.2.2","Բենզին (Կ)",1.022
"2021-09-01","07.2.2.2","Բենզին (Կ)",1.008
"2021-10-01","07.2.2.2","Բենզին (Կ)",1.012
"2021-11-01","07.2.2.2","Բենզին (Կ)",1.032
"2021-12-01","07.2.2.2","Բենզին (Կ)",1.008
"2021-01-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",1.003
"2021-02-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",1.002
