"year","hh","indicator","value","total_taxes","pct_growth","value_pct"
2017,"1.2","Պետական տուրք",37124.685339999996,1156425.2875299999,0.07245803844321252,0.03210296915877232
2018,"1.1.1","ԱԱՀ",438219.2841123,1306231.0865509,0.1295421335353788,0.3354837353239058
2018,"1.1.10","Այլ հարկային եկամուտներ",21990.321724400008,1306231.0865509,0.1295421335353788,0.01683493981334145
2018,"1.1.11","Պետական տուրք",37861.8164166,1306231.0865509,0.1295421335353788,0.02898554230291214
2018,"1.1.2","Շահութահարկ",170086.9380059,1306231.0865509,0.1295421335353788,0.1302119814458054
2018,"1.1.3","Եկամտային հարկ",356639.237407,1306231.0865509,0.1295421335353788,0.2730292067605779
2018,"1.1.4","Ակցիզային հարկ",108961.7534886,1306231.0865509,0.1295421335353788,0.08341690426026627
2018,"1.1.5","Շրջանառության հարկ",21339.290458,1306231.0865509,0.1295421335353788,0.016336535455105685
2018,"1.1.7","Բնապահպանական հարկ և բնօգտագործման վճար",54249.3422552,1306231.0865509,0.1295421335353788,0.041531198280118455
2018,"1.1.8","Մաքսատուրք",80235.8725157,1306231.0865509,0.1295421335353788,0.06142548079112298
2018,"1.1.9","Սոցիալական վճար",17380.56154,1306231.0865509,0.1295421335353788,0.013305885703496254
2019,"1.1.1","ԱԱՀ",474377.1175635,1485666.0038127,0.13736843282117683,0.3193026671850165
2019,"1.1.10","Այլ հարկային եկամուտներ",21206.328974300002,1485666.0038127,0.13736843282117683,0.014273954522670435
2019,"1.1.11","Պետական տուրք",45859.5535306,1485666.0038127,0.13736843282117683,0.0308680103151782
2019,"1.1.2","Շահութահարկ",181265.6242118,1485666.0038127,0.13736843282117683,0.12200967360538217
2019,"1.1.3","Եկամտային հարկ",410348.088401,1485666.0038127,0.13736843282117683,0.27620480467878644
2019,"1.1.4","Ակցիզային հարկ",127535.3295115,1485666.0038127,0.13736843282117683,0.0858438768769044
2019,"1.1.5","Շրջանառության հարկ",28998.158100999997,1485666.0038127,0.13736843282117683,0.019518625334753122
2019,"1.1.7","Բնապահպանական հարկ և բնօգտագործման վճար",58261.4629594,1485666.0038127,0.13736843282117683,0.03921572063295668
2019,"1.1.8","Մաքսատուրք",95146.7090247,1485666.0038127,0.13736843282117683,0.06404313538879045
2019,"1.1.9","Սոցիալական վճար",18671.714973000002,1485666.0038127,0.13736843282117683,0.012567908887382719
2020,"1.1.1","ԱԱՀ",471587.9504746,1381476.9510743998,-0.07012952606502232,0.34136505144572804
2020,"1.1.10","Այլ հարկային եկամուտներ",24337.198419899996,1381476.9510743998,-0.07012952606502232,0.017616796574834285
2020,"1.1.11","Պետական տուրք",33445.9831409,1381476.9510743998,-0.07012952606502232,0.024210308478102696
2020,"1.1.2","Շահութահարկ",148763.2534106,1381476.9510743998,-0.07012952606502232,0.10768420949397971
2020,"1.1.3","Եկամտային հարկ",411165.3162542,1381476.9510743998,-0.07012952606502232,0.29762734436823524
2020,"1.1.4","Ակցիզային հարկ",123555.689408,1381476.9510743998,-0.07012952606502232,0.08943738750900512
2020,"1.1.5","Շրջանառության հարկ",26599.222628,1381476.9510743998,-0.07012952606502232,0.01925419212192668
2020,"1.1.7","Բնապահպանական հարկ և բնօգտագործման վճար",53051.4459883,1381476.9510743998,-0.07012952606502232,0.038401976918283676
2020,"1.1.8","Մաքսատուրք",68260.9194187,1381476.9510743998,-0.07012952606502232,0.04941155143096107
2020,"1.1.9","Սոցիալական վճար",24758.066869000002,1381476.9510743998,-0.07012952606502232,0.017921447657700842
2021,"1.1","ԱԱՀ",555986.4038862999,1586900.1966904,0.14869827937139224,0.3503600321216492
2021,"1.10","Պետական տուրք",66905.4379285,1586900.1966904,0.14869827937139224,0.04216108742568458
2021,"1.2","Շահութահարկ",158602.8424876,1586900.1966904,0.14869827937139224,0.09994506448381454
2021,"1.3","Եկամտային հարկ",426316.817063,1586900.1966904,0.14869827937139224,0.26864752928515345
2021,"1.4","Ակցիզային հարկ",113137.5050111,1586900.1966904,0.14869827937139224,0.07129465687070731
2021,"1.5","Շրջանառության հարկ",32414.469475,1586900.1966904,0.14869827937139224,0.020426281087243436
2021,"1.6","Բնապահպանական հարկ և բնօգտագործման վճար",62682.020298899995,1586900.1966904,0.14869827937139224,0.039499661308019296
2021,"1.7","Մաքսատուրք",84839.9390262,1586900.1966904,0.14869827937139224,0.0534626810199785
2021,"1.8","Սոցիալական վճար",42963.245928000004,1586900.1966904,0.14869827937139224,0.027073691223684446
2021,"1.9","Այլ հարկային եկամուտներ",47183.3312058,1586900.1966904,0.14869827937139224,0.029733017428698036
2022,"1.1","ԱԱՀ",679555.6399942,1925968.6918365,0.21366718326284984,0.352838362780556
