"date","nace_2_code","type_arm","type_eng","name_arm","name_eng","wages","wages_corrected","wages_cumulative","employees"
"2018-02-28","S","Պետական","Public","Սպասարկման այլ ծառայություններ","Other service activities",108944,108944,106054,283
"2018-02-28","58.2, 62, 63.1","Ընդամենը","Total","որից՝  տեղեկատվական  տեխնոլոգիաներ","including: information technologies",540043,540043,546069,9276
"2018-02-28","72","Ընդամենը","Total","որից՝  գիտական հետազոտություններ և մշակումներ","including: scientific reserch and development",138648,138648,137899.5,6484
"2018-02-28","90-91","Ընդամենը","Total","որից՝  մշակույթ և արվեստ","including: culture and art",111359,111359,NA,NA
"2018-02-28","90-91","Ընդամենը","Total","որից՝  մշակույթ և արվեստ","including: culture and art",NA,NA,NA,NA
"2018-02-28","90-91","Ընդամենը","Total","որից՝  մշակույթ և արվեստ","including: culture and art",NA,NA,NA,NA
"2018-02-28","A","Ընդամենը","Total","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Agriculture, forestry and fishing",115899,115899,116647.5,4922
"2018-02-28","A-S","Ընդամենը","Total","Ընդամենը","Total",167937,167937,166655.5,522552
"2018-02-28","B","Ընդամենը","Total","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Mining and quarrying",392518,392518,410510.5,9267
"2018-02-28","C","Ընդամենը","Total","Մշակող արդյունաբերություն","Manufacturing",149956,149956,151605,56386
"2018-02-28","D","Ընդամենը","Total","Էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում","Electricity, gas, steam and air conditioning supply",299211,299211,264187.5,20840
"2018-02-28","E","Ընդամենը","Total","Ջրամատակարարում, կոյուղի, թափոնների կառավարում
և վերամշակում","Water supply; sewerage, waste management and remediation activities",147586,147586,153896.5,6457
"2018-02-28","F","Ընդամենը","Total","Շինարարություն","Construction",181622,181622,179227.5,16221
"2018-02-28","G","Ընդամենը","Total","Մեծածախ և մանրածախ առևտուր, ավտոմեքենաների և մոտոցիկլների նորոգում","Wholesale and retail trade; repair of motor vehicles and motorcycles",122001,122001,123464.5,73731
"2018-02-28","H","Ընդամենը","Total","Փոխադրումներ և պահեստային տնտեսություն","Transportation and storage",156066,156066,163529,19837
"2018-02-28","I","Ընդամենը","Total","Կացության և հանրային սննդի կազմակերպում","Accommodation and food service activities",101512,101512,104262,16938
"2018-02-28","J","Ընդամենը","Total","Տեղեկատվություն և կապ","Information and communication",368934,368934,374945,20641
"2018-02-28","K","Ընդամենը","Total","Ֆինանսական և ապահովագրական գործունեություն","Financial and insurance activities",390756,390756,362847.5,19465
"2018-02-28","L","Ընդամենը","Total","Անշարժ գույքի հետ կապված գործունեություն","Real estate activities",123159,123159,123146.5,7664
"2018-02-28","M","Ընդամենը","Total","Մասնագիտական, գիտական և տեխնիկական գործունեություն","Professional, scientific and technical activities",169789,169789,171852.5,19382
"2018-02-28","N","Ընդամենը","Total","Վարչարարական և օժանդակ գործունեություն","Administrative and support service activities",128380,128380,128130,11596
"2018-02-28","O","Ընդամենը","Total","Պետական կառավարում և պաշտպանություն, պարտադիր սոցիալական ապահովություն","Public administration and defence; compulsory social security",235214,235214,224476.5,37113
"2018-02-28","P","Ընդամենը","Total","Կրթություն","Education",111641,111641,112879,109981
"2018-02-28","Q","Ընդամենը","Total","Առողջապահություն և բնակչության սոցիալական սպասարկում","Human health and social work activities",135363,135363,137842.5,43455
"2018-02-28","R","Ընդամենը","Total","Մշակույթ, զվարճություններ և հանգիստ","Arts, entertainment and recreation",113307,113307,114382,15600
"2018-02-28","S","Ընդամենը","Total","Սպասարկման այլ ծառայություններ","Other service activities",118328,118328,120587.5,13056
"2018-03-31","58.2, 62, 63.1","Ոչ Պետական","Non-public","որից՝  տեղեկատվական  տեխնոլոգիաներ","including: information technologies",562823,562823,553075.3333333334,9331
"2018-03-31","72","Ոչ Պետական","Non-public","որից՝  գիտական հետազոտություններ և մշակումներ","including: scientific reserch and development",228730,228730,208113.33333333334,1302
"2018-03-31","90-91","Ոչ Պետական","Non-public","որից՝  մշակույթ և արվեստ","including: culture and art",251199,251199,NA,NA
"2018-03-31","90-91","Ոչ Պետական","Non-public","որից՝  մշակույթ և արվեստ","including: culture and art",NA,NA,NA,NA
"2018-03-31","90-91","Ոչ Պետական","Non-public","որից՝  մշակույթ և արվեստ","including: culture and art",NA,NA,NA,NA
"2018-03-31","A","Ոչ Պետական","Non-public","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Agriculture, forestry and fishing",112266,112266,115375.33333333333,4378
"2018-03-31","A-S","Ոչ Պետական","Non-public","Ընդամենը","Total",184541,184541,183584.66666666666,327802
"2018-03-31","B","Ոչ Պետական","Non-public","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Mining and quarrying",371784,371784,397601.6666666667,9423
"2018-03-31","C","Ոչ Պետական","Non-public","Մշակող արդյունաբերություն","Manufacturing",155559,155559,152923,57859
"2018-03-31","D","Ոչ Պետական","Non-public","Էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում","Electricity, gas, steam and air conditioning supply",216258,216258,245255,19084
"2018-03-31","E","Ոչ Պետական","Non-public","Ջրամատակարարում, կոյուղի, թափոնների կառավարում
և վերամշակում","Water supply; sewerage, waste management and remediation activities",168142,168142,172006.33333333334,4812
"2018-03-31","F","Ոչ Պետական","Non-public","Շինարարություն","Construction",185828,185828,181556.33333333334,17251
"2018-03-31","G","Ոչ Պետական","Non-public","Մեծածախ և մանրածախ առևտուր, ավտոմեքենաների և մոտոցիկլների նորոգում","Wholesale and retail trade; repair of motor vehicles and motorcycles",125523,125523,124150.66666666667,75977
"2018-03-31","H","Ոչ Պետական","Non-public","Փոխադրումներ և պահեստային տնտեսություն","Transportation and storage",156173,156173,155899.66666666666,11807
"2018-03-31","I","Ոչ Պետական","Non-public","Կացության և հանրային սննդի կազմակերպում","Accommodation and food service activities",102569,102569,103697.66666666667,17393
"2018-03-31","J","Ոչ Պետական","Non-public","Տեղեկատվություն և կապ","Information and communication",398302,398302,394437,19116
"2018-03-31","K","Ոչ Պետական","Non-public","Ֆինանսական և ապահովագրական գործունեություն","Financial and insurance activities",409905,409905,378279,18784
"2018-03-31","L","Ոչ Պետական","Non-public","Անշարժ գույքի հետ կապված գործունեություն","Real estate activities",125346,125346,124904.33333333333,6768
