code,indicator,date,month,year,B_RUB_year_cum,B_RUB,B_RUB_12,levels,USD_RUB,B_USD,B_USD_12,B_USD_year_cum
4.2.1.,Borrowing and Securities Placement,2011-04-01,4,2011,0.5,0.2,NA,3,28.035004761904762,0.007133938506469209,-5.197039930421119,0.017295954585684968
4.2.1.,Borrowing and Securities Placement,2011-05-01,5,2011,0.9,0.4,NA,3,27.931327272727273,0.0143208375346548,-4.926411408858157,0.03161679212033977
4.2.1.,Borrowing and Securities Placement,2011-06-01,6,2011,1.2,0.29999999999999993,NA,3,27.953122727272728,0.010732253527699862,-4.552649880361397,0.04234904564803963
4.2.1.,Borrowing and Securities Placement,2011-07-01,7,2011,1.4,0.19999999999999996,NA,3,27.890014285714287,0.007171025369551108,-4.513448719068884,0.04952007101759073
4.2.1.,Borrowing and Securities Placement,2011-08-01,8,2011,1.8,0.40000000000000013,NA,3,28.822508695652175,0.01387804247797276,-4.432791811831612,0.0633981134955635
4.2.1.,Borrowing and Securities Placement,2011-09-01,9,2011,2,0.19999999999999996,NA,3,30.76889090909091,0.006500071796247566,-4.290537051139859,0.06989818529181106
4.2.1.,Borrowing and Securities Placement,2011-10-01,10,2011,2.3,0.2999999999999998,NA,3,31.247352380952382,0.009600813417487251,-3.78997592302443,0.07949899870929832
4.2.1.,Borrowing and Securities Placement,2011-11-01,11,2011,2.5,0.20000000000000018,NA,3,30.871140909090908,0.006478542551730064,-3.4577810196347074,0.08597754126102838
4.2.1.,Borrowing and Securities Placement,2011-12-01,12,2011,3.4,0.8999999999999999,3.4,3,31.552322727272728,0.028524049014688586,0.11450159027571696,0.11450159027571696
4.2.1.,Borrowing and Securities Placement,2012-01-01,1,2012,0.1,0.1,3.4000000000000004,3,31.317368181818182,0.003193116337855512,0.11437060478588632,0.003193116337855512
4.2.1.,Borrowing and Securities Placement,2012-02-01,2,2012,0.1,0,3.2,3,29.771166666666666,0,0.10753269053435671,0.003193116337855512
4.2.1.,Borrowing and Securities Placement,2012-03-01,3,2012,0.4,0.30000000000000004,3.5,3,29.352363636363638,0.010220641980202927,0.11775333251455963,0.013413758318058439
4.2.1.,Borrowing and Securities Placement,2012-04-01,4,2012,202.8,202.4,205.70000000000002,3,29.477095238095238,6.866348205790129,6.97696759979822,6.879761964108187
4.2.1.,Borrowing and Securities Placement,2012-05-01,5,2012,203.2,0.39999999999997726,205.7,3,30.962017391304347,0.012919054819480752,6.975565817083045,6.892681018927669
4.2.1.,Borrowing and Securities Placement,2012-06-01,6,2012,203.6,0.4000000000000057,205.79999999999998,3,32.80472380952381,0.012193365879943132,6.977026929435289,6.904874384807612
