"code","arm","rus","eng","date","value"
"D","Էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում","Обеспечение электроэнергией, газом, паром и кондиционированным воздухом","Electricity, gas, steam and air conditioning supply","2015-Q3",88707.9
"D","Էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում","Обеспечение электроэнергией, газом, паром и кондиционированным воздухом","Electricity, gas, steam and air conditioning supply","2015-Q4",107565.99999999997
"D","Էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում","Обеспечение электроэнергией, газом, паром и кондиционированным воздухом","Electricity, gas, steam and air conditioning supply","2016-Q1",100902.5
"D","Էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում","Обеспечение электроэнергией, газом, паром и кондиционированным воздухом","Electricity, gas, steam and air conditioning supply","2016-Q2",75750.1
"D","Էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում","Обеспечение электроэнергией, газом, паром и кондиционированным воздухом","Electricity, gas, steam and air conditioning supply","2016-Q3",83855
"D","Էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում","Обеспечение электроэнергией, газом, паром и кондиционированным воздухом","Electricity, gas, steam and air conditioning supply","2016-Q4",99095.99999999997
"D","Էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում","Обеспечение электроэнергией, газом, паром и кондиционированным воздухом","Electricity, gas, steam and air conditioning supply","2017-Q1",98655.3
"D","Էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում","Обеспечение электроэнергией, газом, паром и кондиционированным воздухом","Electricity, gas, steam and air conditioning supply","2017-Q2",71819
"D","Էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում","Обеспечение электроэнергией, газом, паром и кондиционированным воздухом","Electricity, gas, steam and air conditioning supply","2017-Q3",86087.5
"D","Էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում","Обеспечение электроэнергией, газом, паром и кондиционированным воздухом","Electricity, gas, steam and air conditioning supply","2017-Q4",90948.79999999999
"D","Էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում","Обеспечение электроэнергией, газом, паром и кондиционированным воздухом","Electricity, gas, steam and air conditioning supply","2018-Q1",95361.1
"D","Էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում","Обеспечение электроэнергией, газом, паром и кондиционированным воздухом","Electricity, gas, steam and air conditioning supply","2018-Q2",69994.5
"D","Էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում","Обеспечение электроэнергией, газом, паром и кондиционированным воздухом","Electricity, gas, steam and air conditioning supply","2018-Q3",80082.9
"D","Էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում","Обеспечение электроэнергией, газом, паром и кондиционированным воздухом","Electricity, gas, steam and air conditioning supply","2018-Q4",93135
