country,cities,indicator_group,indicator,city_urls,mean_price,min_range,max_range,info_entries,info_contributers,last_update
Russia,Moscow,Restaurants,Imported Beer (0.33 liter bottle),https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,2.72,1.63,5.45,10819,1,2023-12-01
Russia,Moscow,Restaurants,Cappuccino (regular),https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,2.48,1.31,3.81,10819,1,2023-12-01
Russia,Moscow,Restaurants,Coke/Pepsi (0.33 liter bottle),https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,1.01,0.71,1.63,10819,1,2023-12-01
Russia,Moscow,Restaurants,Water (0.33 liter bottle),https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,0.54,0.32999999999999996,1.09,10819,1,2023-12-01
Russia,Moscow,Markets,"Milk (regular), (1 liter)",https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,0.93,0.76,1.09,10819,1,2023-12-01
Russia,Moscow,Markets,Loaf of Fresh White Bread (500g),https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,0.6,0.44,1.09,10819,1,2023-12-01
Russia,Moscow,Markets,"Rice (white), (1kg)",https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,1.25,0.8700000000000001,1.8,10819,1,2023-12-01
Russia,Moscow,Markets,Eggs (regular) (12),https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,1.41,1.05,1.83,10819,1,2023-12-01
Russia,Moscow,Markets,Local Cheese (1kg),https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,8.850000000000001,5.45,16.35,10819,1,2023-12-01
Russia,Moscow,Markets,Chicken Fillets (1kg),https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,4.1499999999999995,2.72,5.45,10819,1,2023-12-01
Russia,Moscow,Markets,Beef Round (1kg) (or Equivalent Back Leg Red Meat),https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,7.92,5.119999999999999,10.9,10819,1,2023-12-01
Russia,Moscow,Markets,Apples (1kg),https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,1.29,0.71,1.63,10819,1,2023-12-01
Russia,Moscow,Markets,Banana (1kg),https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,1.22,0.8700000000000001,1.63,10819,1,2023-12-01
Russia,Moscow,Markets,Oranges (1kg),https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,1.7,0.76,2.72,10819,1,2023-12-01
Russia,Moscow,Markets,Tomato (1kg),https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,2.2,0.8700000000000001,3.81,10819,1,2023-12-01
Russia,Moscow,Markets,Potato (1kg),https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,0.51,0.26,0.8700000000000001,10819,1,2023-12-01
Russia,Moscow,Markets,Onion (1kg),https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,0.51,0.32,0.8700000000000001,10819,1,2023-12-01
Russia,Moscow,Markets,Lettuce (1 head),https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,1.08,0.54,1.63,10819,1,2023-12-01
Russia,Moscow,Markets,Water (1.5 liter bottle),https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,0.5700000000000001,0.39,0.8700000000000001,10819,1,2023-12-01
Russia,Moscow,Markets,Bottle of Wine (Mid-Range),https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,6.54,3.81,10.9,10819,1,2023-12-01
Russia,Moscow,Markets,Domestic Beer (0.5 liter bottle),https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,0.8,0.54,1.09,10819,1,2023-12-01
Russia,Moscow,Markets,Imported Beer (0.33 liter bottle),https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,1.6900000000000002,0.98,2.72,10819,1,2023-12-01
Russia,Moscow,Markets,Cigarettes 20 Pack (Marlboro),https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,2.4,1.96,2.72,10819,1,2023-12-01
Russia,Moscow,Transportation,One-way Ticket (Local Transport),https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,0.61,0.54,0.71,10819,1,2023-12-01
Russia,Moscow,Transportation,Monthly Pass (Regular Price),https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,27.68,23.979999999999997,32.8,10819,1,2023-12-01
Russia,Moscow,Transportation,Taxi Start (Normal Tariff),https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,2.18,1.43,4.359999999999999,10819,1,2023-12-01
Russia,Moscow,Transportation,Taxi 1km (Normal Tariff),https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,0.32999999999999996,0.13,0.76,10819,1,2023-12-01
Russia,Moscow,Transportation,Taxi 1hour Waiting (Normal Tariff),https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,5.89,4.359999999999999,10.9,10819,1,2023-12-01
Russia,Moscow,Transportation,Gasoline (1 liter),https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,0.6,0.53,0.65,10819,1,2023-12-01
Russia,Moscow,Transportation,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,32695.77,23976.89,39234.92,10819,1,2023-12-01
Russia,Moscow,Transportation,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,32195.99,27246.47,40324.78,10819,1,2023-12-01
Russia,Moscow,Utilities (Monthly),"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,107.17,74.11,154.4,10819,1,2023-12-01
Russia,Moscow,Utilities (Monthly),Mobile Phone Monthly Plan with Calls and 10GB+ Data,https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,6.21,3.27,9.81,10819,1,2023-12-01
Russia,Moscow,Utilities (Monthly),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,5.619999999999999,4.359999999999999,7.63,10819,1,2023-12-01
Russia,Moscow,Sports And Leisure,"Fitness Club, Monthly Fee for 1 Adult",https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,33.42,16.35,65.39,10819,1,2023-12-01
Russia,Moscow,Sports And Leisure,Tennis Court Rent (1 Hour on Weekend),https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,24.69,16.35,32.7,10819,1,2023-12-01
Russia,Moscow,Sports And Leisure,"Cinema, International Release, 1 Seat",https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,5.45,4.359999999999999,7.63,10819,1,2023-12-01
Russia,Moscow,Childcare,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,447.55,272.46,708.41,10819,1,2023-12-01
Russia,Moscow,Childcare,"International Primary School, Yearly for 1 Child",https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,10223.1,6539.1500000000005,16347.88,10819,1,2023-12-01
Russia,Moscow,Clothing And Shoes,1 Pair of Jeans (Levis 501 Or Similar),https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,75.52,32.7,130.78,10819,1,2023-12-01
Russia,Moscow,Clothing And Shoes,"1 Summer Dress in a Chain Store (Zara, H&M, ...)",https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,41.86,21.8,81.74000000000001,10819,1,2023-12-01
Russia,Moscow,Clothing And Shoes,1 Pair of Nike Running Shoes (Mid-Range),https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,109.53,54.49,174.38000000000002,10819,1,2023-12-01
Russia,Moscow,Clothing And Shoes,1 Pair of Men Leather Business Shoes,https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,100.91,43.59,217.97,10819,1,2023-12-01
Russia,Moscow,Rent Per Month,Apartment (1 bedroom) in City Centre,https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,771.93,599.42,1089.86,10819,1,2023-12-01
Russia,Moscow,Rent Per Month,Apartment (1 bedroom) Outside of Centre,https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,464.72,381.45,653.92,10819,1,2023-12-01
Russia,Moscow,Rent Per Month,Apartment (3 bedrooms) in City Centre,https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,1638.74,1089.86,3269.58,10819,1,2023-12-01
Russia,Moscow,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,893.9599999999999,653.92,1307.83,10819,1,2023-12-01
Russia,Moscow,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,5284.46,3923.49,9263.8,10819,1,2023-12-01
Russia,Moscow,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,2913.3,2288.7,4359.44,10819,1,2023-12-01
Russia,Moscow,Salaries And Financing,Average Monthly Net Salary (After Tax),https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,1125.29,NA,NA,10819,1,2023-12-01
Russia,Moscow,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,11.61,8,15,10819,1,2023-12-01
Turkey,Istanbul,Restaurants,"Meal, Inexpensive Restaurant",https://www.numbeo.com/cost-of-living/in/Istanbul?displayCurrency=USD,8.51,5.109999999999999,12.32,15681,7,2023-12-01
Turkey,Istanbul,Restaurants,"Meal for 2 People, Mid-range Restaurant, Three-course",https://www.numbeo.com/cost-of-living/in/Istanbul?displayCurrency=USD,34.05,20.43,59.13,15681,7,2023-12-01
Turkey,Istanbul,Restaurants,McMeal at McDonalds (or Equivalent Combo Meal),https://www.numbeo.com/cost-of-living/in/Istanbul?displayCurrency=USD,6.3,5.45,7.49,15681,7,2023-12-01
Turkey,Istanbul,Restaurants,Domestic Beer (0.5 liter draught),https://www.numbeo.com/cost-of-living/in/Istanbul?displayCurrency=USD,3.06,1.7,4.7700000000000005,15681,7,2023-12-01
Turkey,Istanbul,Restaurants,Imported Beer (0.33 liter bottle),https://www.numbeo.com/cost-of-living/in/Istanbul?displayCurrency=USD,4.09,2.38,6.13,15681,7,2023-12-01
Turkey,Istanbul,Restaurants,Cappuccino (regular),https://www.numbeo.com/cost-of-living/in/Istanbul?displayCurrency=USD,2.5,1.7,3.4099999999999997,15681,7,2023-12-01
Turkey,Istanbul,Restaurants,Coke/Pepsi (0.33 liter bottle),https://www.numbeo.com/cost-of-living/in/Istanbul?displayCurrency=USD,1.06,0.6799999999999999,1.7,15681,7,2023-12-01
Turkey,Istanbul,Restaurants,Water (0.33 liter bottle),https://www.numbeo.com/cost-of-living/in/Istanbul?displayCurrency=USD,0.42,0.24,1.02,15681,7,2023-12-01
Turkey,Istanbul,Markets,"Milk (regular), (1 liter)",https://www.numbeo.com/cost-of-living/in/Istanbul?displayCurrency=USD,1.04,0.73,1.36,15681,7,2023-12-01
Turkey,Istanbul,Markets,Loaf of Fresh White Bread (500g),https://www.numbeo.com/cost-of-living/in/Istanbul?displayCurrency=USD,0.54,0.27,1.02,15681,7,2023-12-01
Turkey,Istanbul,Markets,"Rice (white), (1kg)",https://www.numbeo.com/cost-of-living/in/Istanbul?displayCurrency=USD,1.59,1.02,2.4,15681,7,2023-12-01
Turkey,Istanbul,Markets,Eggs (regular) (12),https://www.numbeo.com/cost-of-living/in/Istanbul?displayCurrency=USD,1.99,1.23,2.86,15681,7,2023-12-01
Turkey,Istanbul,Markets,Local Cheese (1kg),https://www.numbeo.com/cost-of-living/in/Istanbul?displayCurrency=USD,7.65,4.22,12.43,15681,7,2023-12-01
Turkey,Istanbul,Markets,Chicken Fillets (1kg),https://www.numbeo.com/cost-of-living/in/Istanbul?displayCurrency=USD,5.4,2.72,7.74,15681,7,2023-12-01
Turkey,Istanbul,Markets,Beef Round (1kg) (or Equivalent Back Leg Red Meat),https://www.numbeo.com/cost-of-living/in/Istanbul?displayCurrency=USD,13.9,10.22,20.43,15681,7,2023-12-01
Turkey,Istanbul,Markets,Apples (1kg),https://www.numbeo.com/cost-of-living/in/Istanbul?displayCurrency=USD,1.14,0.6799999999999999,1.53,15681,7,2023-12-01
Turkey,Istanbul,Markets,Banana (1kg),https://www.numbeo.com/cost-of-living/in/Istanbul?displayCurrency=USD,1.6700000000000002,1.1900000000000002,2.72,15681,7,2023-12-01
Turkey,Istanbul,Markets,Oranges (1kg),https://www.numbeo.com/cost-of-living/in/Istanbul?displayCurrency=USD,1.14,0.6799999999999999,1.7,15681,7,2023-12-01
Turkey,Istanbul,Markets,Tomato (1kg),https://www.numbeo.com/cost-of-living/in/Istanbul?displayCurrency=USD,1,0.51,1.53,15681,7,2023-12-01
Turkey,Istanbul,Markets,Potato (1kg),https://www.numbeo.com/cost-of-living/in/Istanbul?displayCurrency=USD,0.6799999999999999,0.41,1.02,15681,7,2023-12-01
Turkey,Istanbul,Markets,Onion (1kg),https://www.numbeo.com/cost-of-living/in/Istanbul?displayCurrency=USD,0.55,0.31,1.02,15681,7,2023-12-01
Turkey,Istanbul,Markets,Lettuce (1 head),https://www.numbeo.com/cost-of-living/in/Istanbul?displayCurrency=USD,0.9,0.51,1.36,15681,7,2023-12-01
Turkey,Istanbul,Markets,Water (1.5 liter bottle),https://www.numbeo.com/cost-of-living/in/Istanbul?displayCurrency=USD,0.38,0.14,0.6799999999999999,15681,7,2023-12-01
Turkey,Istanbul,Markets,Bottle of Wine (Mid-Range),https://www.numbeo.com/cost-of-living/in/Istanbul?displayCurrency=USD,8.51,5.79,15.32,15681,7,2023-12-01
Turkey,Istanbul,Markets,Domestic Beer (0.5 liter bottle),https://www.numbeo.com/cost-of-living/in/Istanbul?displayCurrency=USD,1.71,1.36,2.55,15681,7,2023-12-01
Turkey,Istanbul,Markets,Imported Beer (0.33 liter bottle),https://www.numbeo.com/cost-of-living/in/Istanbul?displayCurrency=USD,2.4499999999999997,1.53,4.09,15681,7,2023-12-01
Turkey,Istanbul,Markets,Cigarettes 20 Pack (Marlboro),https://www.numbeo.com/cost-of-living/in/Istanbul?displayCurrency=USD,1.87,1.6,2.04,15681,7,2023-12-01
Turkey,Istanbul,Transportation,One-way Ticket (Local Transport),https://www.numbeo.com/cost-of-living/in/Istanbul?displayCurrency=USD,0.51,0.51,0.6799999999999999,15681,7,2023-12-01
Turkey,Istanbul,Transportation,Monthly Pass (Regular Price),https://www.numbeo.com/cost-of-living/in/Istanbul?displayCurrency=USD,40.08,26.22,40.08,15681,7,2023-12-01
Turkey,Istanbul,Transportation,Taxi Start (Normal Tariff),https://www.numbeo.com/cost-of-living/in/Istanbul?displayCurrency=USD,0.65,0.44,1.02,15681,7,2023-12-01
Turkey,Istanbul,Transportation,Taxi 1km (Normal Tariff),https://www.numbeo.com/cost-of-living/in/Istanbul?displayCurrency=USD,0.47,0.29000000000000004,0.6799999999999999,15681,7,2023-12-01
Turkey,Istanbul,Transportation,Taxi 1hour Waiting (Normal Tariff),https://www.numbeo.com/cost-of-living/in/Istanbul?displayCurrency=USD,5.2,3.4099999999999997,6.81,15681,7,2023-12-01
Turkey,Istanbul,Transportation,Gasoline (1 liter),https://www.numbeo.com/cost-of-living/in/Istanbul?displayCurrency=USD,1.27,1.16,1.36,15681,7,2023-12-01
Turkey,Istanbul,Transportation,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),https://www.numbeo.com/cost-of-living/in/Istanbul?displayCurrency=USD,43157.3,37457.03,51077.759999999995,15681,7,2023-12-01
Turkey,Istanbul,Transportation,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),https://www.numbeo.com/cost-of-living/in/Istanbul?displayCurrency=USD,42246.810000000005,37457.03,49375.17,15681,7,2023-12-01
