date,year,FX_ISO,USD_FX
2021-04-21,2021,HKD,7.7641
2021-04-20,2021,HKD,7.7612
2021-04-19,2021,HKD,7.7656
2021-04-16,2021,HKD,7.7712
2021-04-15,2021,HKD,7.7673
2021-04-14,2021,HKD,7.7647
2021-04-13,2021,HKD,7.7728
2021-04-12,2021,HKD,7.7734
2021-04-09,2021,HKD,7.7779
2021-04-08,2021,HKD,7.7768
2021-04-07,2021,HKD,7.7847
2021-04-06,2021,HKD,7.776
2021-04-05,2021,HKD,7.7759
2021-04-02,2021,HKD,7.7759
2021-04-01,2021,HKD,7.7753
2021-03-31,2021,HKD,7.7739
2021-03-30,2021,HKD,7.7747
2021-03-29,2021,HKD,7.7731
2021-03-26,2021,HKD,7.7686
2021-03-25,2021,HKD,7.7684
2021-03-24,2021,HKD,7.7681
2021-03-23,2021,HKD,7.7671
2021-03-22,2021,HKD,7.7658
2021-03-19,2021,HKD,7.7647
2021-03-18,2021,HKD,7.7646
2021-03-17,2021,HKD,7.7653
2021-03-16,2021,HKD,7.7648
2021-03-15,2021,HKD,7.7654
2021-03-12,2021,HKD,7.7625
2021-03-11,2021,HKD,7.7585
2021-03-10,2021,HKD,7.7612
2021-03-09,2021,HKD,7.7608
2021-03-08,2021,HKD,7.7688
2021-03-05,2021,HKD,7.7632
2021-03-04,2021,HKD,7.7589
2021-03-03,2021,HKD,7.7567
2021-03-02,2021,HKD,7.757
2021-03-01,2021,HKD,7.7562
2021-02-26,2021,HKD,7.7564
2021-02-25,2021,HKD,7.754
2021-02-24,2021,HKD,7.7546
2021-02-23,2021,HKD,7.7537
2021-02-22,2021,HKD,7.7533
2021-02-19,2021,HKD,7.7532
2021-02-18,2021,HKD,7.7527
2021-02-17,2021,HKD,7.7524
2021-02-16,2021,HKD,7.7521
2021-02-15,2021,HKD,7.7525
2021-02-12,2021,HKD,7.7529
2021-02-11,2021,HKD,7.7527
2021-02-10,2021,HKD,7.7522
2021-02-09,2021,HKD,7.7516
2021-02-08,2021,HKD,7.7522
2021-02-05,2021,HKD,7.7527
2021-02-04,2021,HKD,7.7527
2021-02-03,2021,HKD,7.7515
2021-02-02,2021,HKD,7.7514
2021-02-01,2021,HKD,7.7526
2021-01-29,2021,HKD,7.7528
2021-01-28,2021,HKD,7.7525
2021-01-27,2021,HKD,7.7519
2021-01-26,2021,HKD,7.7519
2021-01-25,2021,HKD,7.7512
2021-01-22,2021,HKD,7.7519
2021-01-21,2021,HKD,7.7515
2021-01-20,2021,HKD,7.7517
2021-01-19,2021,HKD,7.7523
2021-01-18,2021,HKD,7.7534
2021-01-15,2021,HKD,7.7538
2021-01-14,2021,HKD,7.7536
2021-01-13,2021,HKD,7.7532
2021-01-12,2021,HKD,7.7548
2021-01-11,2021,HKD,7.7551
2021-01-08,2021,HKD,7.7563
2021-01-07,2021,HKD,7.7533
2021-01-06,2021,HKD,7.753
2021-01-05,2021,HKD,7.7531
2021-01-04,2021,HKD,7.7533
2021-01-01,2021,HKD,7.7524
2020-12-31,2020,HKD,7.7523
2020-12-30,2020,HKD,7.7522
2020-12-29,2020,HKD,7.7538
2020-12-28,2020,HKD,7.7559
2020-12-25,2020,HKD,7.7527
2020-12-24,2020,HKD,7.7535
2020-12-23,2020,HKD,7.7529
2020-12-22,2020,HKD,7.7526
2020-12-21,2020,HKD,7.753
2020-12-18,2020,HKD,7.7518
2020-12-17,2020,HKD,7.752
2020-12-16,2020,HKD,7.752
2020-12-15,2020,HKD,7.7515
2020-12-14,2020,HKD,7.7518
2020-12-11,2020,HKD,7.7512
2020-12-10,2020,HKD,7.7511
2020-12-09,2020,HKD,7.7515
2020-12-08,2020,HKD,7.7511
2020-12-07,2020,HKD,7.7509
2020-12-04,2020,HKD,7.7507
2020-12-03,2020,HKD,7.7509
2020-12-02,2020,HKD,7.7516
2020-12-01,2020,HKD,7.7519
2020-11-30,2020,HKD,7.7516
2020-11-27,2020,HKD,7.7507
2020-11-26,2020,HKD,7.7508
2020-11-25,2020,HKD,7.7507
2020-11-24,2020,HKD,7.7516
2020-11-23,2020,HKD,7.7518
2020-11-20,2020,HKD,7.7522
2020-11-19,2020,HKD,7.7531
2020-11-18,2020,HKD,7.7526
2020-11-17,2020,HKD,7.7524
2020-11-16,2020,HKD,7.7534
2020-11-13,2020,HKD,7.7536
2020-11-12,2020,HKD,7.7542
2020-11-11,2020,HKD,7.7543
2020-11-10,2020,HKD,7.754
2020-11-09,2020,HKD,7.7523
2020-11-06,2020,HKD,7.7534
2020-11-05,2020,HKD,7.7525
2020-11-04,2020,HKD,7.7555
2020-11-03,2020,HKD,7.7521
2020-11-02,2020,HKD,7.75
2020-10-30,2020,HKD,7.7516
2020-10-29,2020,HKD,7.7515
2020-10-28,2020,HKD,7.75
2020-10-27,2020,HKD,7.75
2020-10-26,2020,HKD,7.75
2020-10-23,2020,HKD,7.75
2020-10-22,2020,HKD,7.75
2020-10-21,2020,HKD,7.75
2020-10-20,2020,HKD,7.75
2020-10-19,2020,HKD,7.75
2020-10-16,2020,HKD,7.7495
2020-10-15,2020,HKD,7.7501
2020-10-14,2020,HKD,7.75
2020-10-13,2020,HKD,7.75
2020-10-12,2020,HKD,7.75
2020-10-09,2020,HKD,7.7499
2020-10-08,2020,HKD,7.7501
2020-10-07,2020,HKD,7.75
2020-10-06,2020,HKD,7.7499
2020-10-05,2020,HKD,7.75
